rowid_obs;Id;IsOkStation;IsOkMetadata;SufiDay;SufiMon;Z-score;Corr;Level
12166;20200517h5ryhncanoe6in5tyyb96sprnc;True;True;True;True;True;True;M4
12167;20200517j9jj7wradwe6in5tyyb96sprnc;True;True;True;True;True;True;M4
12168;20200517kis6dcwanae6in5tyyb96sprnc;True;True;True;True;True;True;M4
12169;20200517j9jj7icadwe6in5tyyb96sprnc;True;True;True;True;True;True;M4
12170;20200517cgnt75ranae6in5tyyb96sprnc;True;True;True;True;True;True;M4
12171;20200517par4rrhanae6in5tyyb96sciue;True;True;True;True;True;True;M4
12172;20200517ug917dranwe6in5tyyb96sciue;True;True;True;True;True;True;M4
12173;202005177ht83xranae6in5tyyb96sprnc;True;True;True;True;True;True;M4
12174;20200517kpzuu7wadye6in5tyyb96sciue;True;True;True;True;True;True;M4
12175;20200517s69f61wadre6in5tyyb96sprnc;True;True;True;True;True;True;M4
12176;20200517tcnxf8canwe6in5tyyb96sprnc;True;True;True;True;True;True;M4
12177;20200517dn4bcawadye6in5tyyb96sciue;True;True;True;True;False;False;M1
12178;20200517u4f5incanae6in5tyyb96sciue;True;True;True;True;False;False;M1
12179;202005175um6xihadye6in5tyyb96sciue;True;True;True;True;True;True;M4
12180;202005178bkk7qhanae6in5tyyb96sprnc;True;True;True;True;True;True;M4
12181;202005177hak6chanae6in5tyyb96sciue;True;True;True;True;True;True;M4
12182;20200517okq7nwhanwe6in5tyyb96sprnc;True;True;True;True;True;True;M4
12183;20200517m9osh1hadye6in5tyyb96sciue;True;True;True;True;True;True;M4
12184;20200517ik3hstwanhe6in5tyyb96sprnc;True;True;True;True;True;True;M4
12185;202005173rpteghadre6in5tyyb96sciue;True;True;True;True;True;True;M4
12186;20200517dmxgdzhadre6in5tyyb96sprnc;True;True;True;True;True;True;M4
12187;20200517rkbp9swadre6in5tyyb96sciue;True;True;True;True;True;True;M4
12188;20200517tp5poihanhe6in5tyyb96sciue;True;True;True;True;True;True;M4
12189;20200517epqydchanwe6in5tyyb96sprnc;True;True;True;True;True;True;M4
12190;20200517mgt1b8wadye6in5tyyb96sciue;True;True;True;True;True;True;M4
12191;2020051715xp63hanoe6in5tyyb96sprnc;True;True;True;True;True;False;M3
12192;20200517bybst8canae6in5tyyb96sciue;True;True;True;True;True;True;M4
12193;202005176n43yyradre6in5tyyb96sciue;True;True;True;True;True;True;M4
12194;2020051735zuercanae6in5tyyb96sciue;True;True;True;True;True;True;M4
12195;20200517fyj4pdwanhe6in5tyyb96sprnc;True;True;True;True;True;True;M4
12196;20200517dnqtrjradye6in5tyyb96sprnc;True;True;True;True;True;True;M4
12197;20200517hiezzdwadee6in5tyyb96sciue;True;True;True;True;True;True;M4
12198;20200517mpb74iwadre6in5tyyb96sprnc;True;True;True;True;True;True;M4
12199;202005178tagn4ranwe6in5tyyb96sciue;True;True;True;True;True;True;M4
12200;20200517mr6hw6hanhe6in5tyyb96sprnc;True;True;True;True;True;True;M4
12201;202005173kpirqcadye6in5tyyb96sciue;True;True;True;True;True;True;M4
12202;20200517pw8oo3radre6in5tyyb96sciue;True;True;True;True;True;True;M4
12203;20200517sng647ranae6in5tyyb96sprnc;True;True;True;True;True;True;M4
12204;2020051777mupkcanwe6in5tyyb96sciue;True;True;True;True;True;True;M4
12205;20200517yaonxshadye6in5tyyb96sciue;True;True;True;True;True;True;M4
12206;20200517nkghsxhadye6in5tyyb96sprnc;True;True;True;True;True;True;M4
12207;20200517tqiznnwadre6in5tyyb96sciue;True;True;True;True;True;True;M4
12208;20200517o4yyfghanae6in5tyyb96sciue;True;True;True;True;True;True;M4
12209;20200517atnt5rwanwe6in5tyyb96sciue;True;True;True;True;True;True;M4
12210;20200517yarcwbranwe6in5tyyb96sprnc;True;True;True;True;True;True;M4
12211;20200517e5yywtwanhe6in5tyyb96sciue;True;True;True;True;True;True;M4
12212;202005174n4tkjwadye6in5tyyb96sprnc;True;True;True;True;True;True;M4
12213;20200517ikg3a1ranae6in5tyyb96sciue;True;True;True;True;True;True;M4
12214;20200517c6wh7xcanae6in5tyyb96sprnc;True;True;True;True;True;True;M4
