rowid;country;station_id;count
1;at;06de6888-fdd4-ea11-bf21-0003ff59b17b;1
2;at;0b42bc29-ac46-eb11-8fed-0003ff597f34;1675
3;at;15cb9760-6dfa-ea11-b5d9-0003ff599498;134
4;at;46372078;1312
5;at;6defefec-2f4b-ea11-b698-0003ff59771b;1873
6;at;915656001;1077
7;at;f039fb5c-6bfa-ea11-b5d9-0003ff599498;1
8;be;02ada5b7-5015-eb11-8441-0003ff597f33;1
9;be;0326496d-d4fb-ea11-b5d9-0003ff599498;4
10;be;04785fe0-8a3c-eb11-8fed-0003ff5982ed;2133
11;be;05ade684-e132-eb11-8441-0003ff597f33;1
12;be;06723dbe-31d1-e711-9401-0003ff597480;1
13;be;0706ed11-dbcc-ea11-bf22-0003ff59a5e1;9
14;be;0a4b4554-68fd-ea11-b5d9-0003ff599498;1
15;be;0f78adcc-70ca-ea11-bf21-0003ff59a78c;2
16;be;107d3ed4-69fd-ea11-b5d9-0003ff599499;1
17;be;11ed6eae-8a48-eb11-8fed-0003ff595f97;590
18;be;123b00cd-d0fb-ea11-b5d9-0003ff599498;3
19;be;16a3d7e8-e03d-eb11-8fed-0003ff595f97;1
20;be;19389fc4-1e29-eb11-8441-0003ff59786b;271
21;be;1a749d54-69fd-ea11-b5d9-0003ff599498;1
22;be;2101e145-3dfb-ea11-b5d9-0003ff599499;5
23;be;292e10bc-69ca-ea11-bf21-0003ff59b17b;2
24;be;2c2327f7-51fb-ea11-b5d9-0003ff599499;4
25;be;35c696b5-bad4-ea11-bf21-0003ff59a78c;1
26;be;36683806-d4fb-ea11-b5d9-0003ff599499;3
27;be;3b7a7833-1148-eb11-8fed-0003ff597f34;1
28;be;3cf51314-4a15-eb11-8441-0003ff59786b;1
29;be;401ede3a-ea0d-eb11-8441-0003ff59786b;1
30;be;479523b9-f1a4-ea11-8b71-0003ff59b0d7;1
31;be;48051e5a-4648-eb11-8fed-0003ff597f34;1189
32;be;4822f7f8-0ba4-ea11-8b71-0003ff59a5f8;1
33;be;48f0401a-d2fb-ea11-b5d9-0003ff599499;4
34;be;49f67b47-6fca-ea11-bf21-0003ff59a78c;749
35;be;50fc5241-bd66-ea11-99e5-0003ff59b16f;1
36;be;595c835c-69fd-ea11-b5d9-0003ff5982ee;2
37;be;5dba64f3-f0bc-e911-b083-0003ff59a71f;1
38;be;67b8cec2-81b8-ea11-bf21-0003ff5982ee;1316
39;be;6df70a61-db49-eb11-8fed-0003ff5982ed;405
40;be;72305c79-ca16-eb11-8441-0003ff597a64;1
41;be;743c71ff-3bfb-ea11-b5d9-0003ff59944a;2
42;be;75175605-64ad-e911-b083-0003ff598cc1;1
43;be;7882c63f-3cfb-ea11-b5d9-0003ff599498;1
44;be;78b21084-cfdb-ea11-bf21-0003ff595f95;1
45;be;7d545f11-70ca-ea11-bf21-0003ff59b17b;1
46;be;84c22d49-14f4-e911-b862-0003ff59ab13;111
47;be;85e59bc2-69fd-ea11-b5d9-0003ff599498;1
48;be;88071e0e-69fd-ea11-b5d9-0003ff599499;3
49;be;88b5ceb8-d1fb-ea11-b5d9-0003ff5982ee;2
50;be;8bf48f74-ddfb-ea11-b5d9-0003ff5982ee;1
51;be;8d4b7bfb-043e-eb11-8fed-0003ff597f34;1
52;be;94d3c88f-1eae-ea11-8b71-0003ff59b0d7;1
53;be;95d822b2-df26-e811-bbd3-0003ff598027;51
54;be;9b0c0519-6c40-eb11-8fed-0003ff5982ed;2045
55;be;9eeaeeba-d3fb-ea11-b5d9-0003ff599498;2
56;be;9ff74591-71ca-ea11-bf22-0003ff59a5e1;2
57;be;a0fc098c-e032-eb11-8441-0003ff597a64;1
58;be;a6c4eb76-72ca-ea11-bf22-0003ff59a5e1;2
59;be;aa1bebba-68fd-ea11-b5d9-0003ff599498;1
60;be;b33a5875-65ca-ea11-bf21-0003ff59b17b;2
61;be;b5676500-d5fb-ea11-b5d9-0003ff5982ee;4
62;be;b7316ae6-40fb-ea11-b5d9-0003ff599498;6
63;be;bcae068f-cd47-eb11-8fed-0003ff5982ed;726
64;be;be2df16a-8fdd-ea11-bf21-0003ff59a78c;2
65;be;c0a35f96-1b3e-eb11-8fed-0003ff595f97;1585
66;be;ca8de20a-6afd-ea11-b5d9-0003ff599499;1
67;be;cbeaa2e9-51fb-ea11-b5d9-0003ff599499;4
68;be;d17ce1d5-d0fb-ea11-b5d9-0003ff599498;1
69;be;d26ca323-dc43-e711-9401-0003ff597480;2
70;be;d75ba20d-61dc-ea11-bf21-0003ff59b17b;1
71;be;dd03bfec-5ebb-e811-a8eb-0003ff5999e3;84
72;be;de1efdd2-3ffb-ea11-b5d9-0003ff599499;7
73;be;def889fd-67ca-ea11-bf22-0003ff59a5e1;2
74;be;e01f04e2-e471-ea11-99e5-0003ff59b198;1
75;be;e50e188a-6cca-ea11-bf22-0003ff59a5e1;3
76;be;e9507b8b-69fd-ea11-b5d9-0003ff599498;2
77;be;ee892c1c-d6fb-ea11-b5d9-0003ff599498;1
78;be;f0f85212-3e60-e811-bd6d-0003ff59b2de;2
79;be;f32fb460-b78b-ea11-99e5-0003ff59b198;1
80;be;f3cc85f7-88df-e711-9405-0003ff59b2bd;211
81;be;f4015d94-6bca-ea11-bf21-0003ff59b17b;2
82;be;f8d9a1c2-e132-eb11-8441-0003ff597f33;1
83;be;fbddcda0-ad47-eb11-8fed-0003ff595f97;1396
84;be;ff11fd36-7264-eb11-8fed-0003ff596d7f;1
85;be;ff199418-73ca-ea11-bf22-0003ff59a5e1;2
86;ch;15f3a3ba-7848-eb11-8fed-0003ff597f34;1131
87;ch;48e578cb-4cda-ea11-bf21-0003ff595f95;1
88;ch;7bd28efc-5b82-ea11-99e5-0003ff596d81;1
89;ch;886d53ed-53bd-ea11-bf21-0003ff59a56f;1
90;cz;09d79e46-b228-eb11-8441-0003ff59786b;1
91;cz;0bf555d2-4248-eb11-8fed-0003ff597f34;1198
92;cz;0bfd84c0-8fb8-ea11-bf21-0003ff59a5e1;2
93;cz;0c2686f8-e346-eb11-8fed-0003ff5982ed;3
94;cz;2851cc22-e94a-eb11-8fed-0003ff595f97;294
95;cz;35e06a13-ef42-eb11-8fed-0003ff595f97;1
96;cz;37488956;3
97;cz;3768ccd5-3a6f-ea11-99e5-0003ff596d81;1
98;cz;755113dc-f8ef-e711-bd60-0003ff5962e0;1484
99;cz;fefb9277-3350-ea11-b698-0003ff59771b;2
100;de;12beec20-938c-ea11-99e5-0003ff59b198;2
101;de;148c991b-c14a-eb11-8fed-0003ff5982ed;1
102;de;15739503-513d-eb11-8fed-0003ff597f34;1
103;de;16a52711-d549-eb11-8fed-0003ff595f97;655
104;de;195e50e7-304b-ea11-b699-0003ff59987e;1
105;de;1dcfd4db-7547-eb11-8fed-0003ff597f34;1
106;de;1de50e5f-56c8-ea11-bf21-0003ff59a78c;1
107;de;26fa790e-0454-ea11-b698-0003ff59771b;1
108;de;2baa0500-b745-ea11-b698-0003ff59771b;1
109;de;3b1fb94a-8693-ea11-99e5-0003ff596d81;1
110;de;40297e68-71dd-ea11-bf21-0003ff595f95;2
111;de;40354f5b-cdae-ea11-8b71-0003ff59a5f8;1
112;de;4bf605cd-cddf-ea11-bf21-0003ff59b17b;1
113;de;6141bc28-b3a9-ea11-8b71-0003ff59b0d7;763
114;de;61ab72dd-139a-ea11-8b71-0003ff59a3d6;1
115;de;6243211a-97f7-ea11-b5d9-0003ff59944a;1
116;de;631b62ee-e239-ea11-8454-0003ff59ab13;60
117;de;66e6a2c1-c062-ea11-b698-0003ff59a029;1
118;de;686841de-1dd7-ea11-bf21-0003ff59b17b;1
119;de;6f09ebe6-54da-ea11-bf21-0003ff59a78c;1
120;de;793a5b51-c85f-ea11-b698-0003ff599880;1
121;de;7b0cfa1e-89b4-ea11-bf21-0003ff5982ee;4
122;de;906cdf56-ae16-eb11-8441-0003ff59786b;1
123;de;93537134-a235-eb11-8fed-0003ff598a13;2158
124;de;a21514f3-5e48-eb11-8fed-0003ff597f34;1152
125;de;aa6c38f2-dddb-ea11-bf21-0003ff59b17b;39
126;de;afbcbcce-544f-ea11-b698-0003ff59771b;2039
127;de;bba44ccd-3f49-eb11-8fed-0003ff595f97;674
128;de;bf13f1d3-f7e8-ea11-bf21-0003ff59a78c;1
129;de;bf4f313a-fdf7-e811-a140-0003ff5991b2;782
130;de;c03b1280-149a-ea11-8b71-0003ff59b194;1
131;de;c8f24996-4f73-ea11-99e5-0003ff596d81;2
132;de;d2795f71-3556-ea11-b698-0003ff59771b;1
133;de;dc47f059-d245-eb11-8fed-0003ff597f34;1
134;de;dcc0d33e-6827-eb11-8441-0003ff59786b;1
135;de;e44df278-9659-ea11-b698-0003ff599880;1
136;de;f1ebbdeb-a0df-ea11-bf21-0003ff59a78c;338
137;de;fb325ef6-af00-eb11-b5d9-0003ff599499;2
138;de;fb49650c-513d-eb11-8fed-0003ff595f97;1
139;de;fe013cb6-c8ea-ea11-b5d9-0003ff59944a;1
140;dk;51215c6e-262e-ea11-8454-0003ff59ab13;1
141;dk;dfac7b2f-790c-eb11-b5d9-0003ff5982ee;1
