SID;lat;lon;elev;name
4200000271;51.578003;-0.401173;60;---
4200000272;51.895841;-0.173893;78;---
4200000276;43.3145;-2.001;35;---
4200000277;51.5551;5.0729;13;---
4200000278;56.3894;-3.2656;10;---
4200000281;51.2761;-1.1229;90;---
4200000282;50.2431;6.0583;453;---
4200000283;59.082255;-3.04759;35;---
4200000285;55.0045;-2.1867;69;---
4200000286;53.259;6.9321;-1;---
4200000288;43.134173;12.423906;294;---
4200000290;51.172768;-0.120996;75;---
4200000291;52.780909;6.2364688;8;---
4200000293;51.8534;4.8911;-1;---
4200000294;50.755165;-1.964364;38;---
4200000295;50.5203;6.2036;542;---
4200000296;51.6157157;-0.647127899999987;95;---
4200000297;60.4013;5.2039;40;---
4200000298;50.968;2.4405;4;---
4200000299;57.34018;-2.184022;75;---
4200000300;52.647936;-1.689774;68;---
4200000301;60.009971;5.199645;3;---
4200000302;52.1474;-2.4428;156;---
4200000304;50.8569;4.7031;51;---
4200000308;57.6548;11.9615;42;---
4200000309;55.292;-4.5464;156;---
4200000310;40.628;15.1006;123;---
4200000313;52.395454;1.025248;43;---
4200000314;53.0225;6.59056;10;---
4200000316;50.1442;14.3304;261;---
4200000318;51.9966446791464;4.21650903276816;1;---
4200000319;42.224958;0.989928;673;---
4200000320;58.4383;16.3029;57;---
4200000321;51.382546;-0.334546;24;---
4200000322;56.1761;-4.8956;111;---
4200000323;52.6069855998828;1.25237673950198;11;---
4200000325;51.2151;-0.5302;76;---
4200000326;50.9456075183909;-2.53374189311523;76;---
4200000327;51.7102;4.7117;1;---
4200000329;58.7104;13.8064;45;---
4200000334;51.2553616257676;5.94109393680117;26;---
4200000336;50.8763;5.9701;124;---
4200000337;50.854335;-1.766694;59;---
4200000339;52.724419;6.516112;13;---
4200000342;51.1858533838646;0.274014322814992;60;---
4200000343;50.4832;12.3905;502;---
4200000344;51.5536;-0.3156;44;---
4200000345;54.785;-1.5949;84;---
4200000346;52.793;-6.7099;92;---
4200000348;53.3007;-6.2595;49;---
4200000349;48.304;6.8373;446;---
4200000351;53.566856;-2.000022;296;---
4200000353;52.0916;-1.9374;69;---
4200000354;51.6201;-0.6459;107;---
4200000355;53.8256;-2.2875;182;---
4200000356;51.476158;0.148315;10;---
4200000357;51.3759;-0.512;28;---
4200000359;51.440361;-0.968695;67;---
4200000360;51.5613;7.4817;100;---
4200000361;52.6384;4.9753;-2;---
4200000363;60.6434;17.0268;17;---
4200000364;59.3896;6.4265;560;---
4200000366;54.3313;-1.8238;199;---
4200000371;51.8939081424767;-0.536489685358969;150;---
4200000373;51.2343;-0.8608;126;---
4200000377;56.941416;-2.406521;204;---
4200000379;52.0764229;4.7474143;-2;---
4200000382;51.0237;3.1169;26;---
4200000383;51.6126;10.1337;207;---
4200000384;51.747766037194;4.06381588814702;1;---
4200000385;52.6232411;6.03431820000003;1;---
4200000386;62.464027;6.109085;20;---
4200000388;50.6759;9.4222;371;---
4200000389;52.086;4.8772;1;---
4200000393;51.4157192620654;-1.75745696067816;152;---
4200000394;51.1917;3.0642;2;---
4200000395;47.4868;8.1005;475;---
4200000396;53.2003;6.5824;2;---
4200000397;52.2541;4.4894;1;---
4200000398;53.14818;-2.371491;51;---
4200000399;51.046287;0.172742;152;---
4200000400;51.592056;-0.785893;104;---
4200000401;52.4801;1.0325;47;---
4200000402;59.6547;13.0509;119;---
4200000403;52.396;5.176;-3;---
4200000404;54.531;-1.202;71;---
4200000405;50.9021;4.678;30;---
4200000406;49.811455;5.765194;448;---
4200000408;53.167183;-2.915143;14;---
4200000410;50.9945;4.8644;27;---
4200000411;49.4995;8.6542;124;---
4200000414;55.35558;-4.78013;71;---
4200000416;50.9875;11.065;222;---
4200000419;51.482;-0.0706;28;---
4200000421;57.414193;-6.536092;28;---
4200000423;44.225;3.3;858;---
